2theta,Intensity
25,13
25.01,7
25.02,12
25.03,6
25.04,3
25.05,10
25.06,5
25.07,5
25.08,7
25.09,14
25.1,6
25.11,9
25.12,6
25.13,10
25.14,11
25.15,12
25.16,8
25.17,9
25.18,9
25.19,5
25.2,5
25.21,8
25.22,8
25.23,9
25.24,11
25.25,10
25.26,8
25.27,9
25.28,9
25.29,12
25.3,13
25.31,6
25.32,7
25.33,12
25.34,7
25.35,6
25.36,9
25.37,7
25.38,11
25.39,10
25.4,4
25.41,6
25.42,9
25.43,10
25.44,8
25.45,11
25.46,8
25.47,5
25.48,5
25.49,5
25.5,11
25.51,8
25.52,9
25.53,12
25.54,14
25.55,13
25.56,13
25.57,9
25.58,7
25.59,14
25.6,13
25.61,13
25.62,11
25.63,9
25.64,15
25.65,10
25.66,6
25.67,4
25.68,10
25.69,6
25.7,14
25.71,9
25.72,11
25.73,7
25.74,10
25.75,9
25.76,10
25.77,11
25.78,11
25.79,7
25.8,5
25.81,5
25.82,7
25.83,7
25.84,5
25.85,7
25.86,5
25.87,10
25.88,10
25.89,5
25.9,5
25.91,5
25.92,6
25.93,14
25.94,15
25.95,9
25.96,15
25.97,11
25.98,12
25.99,10
26,11
26.01,8
26.02,9
26.03,9
26.04,10
26.05,8
26.06,3
26.07,4
26.08,6
26.09,7
26.1,9
26.11,7
26.12,11
26.13,7
26.14,16
26.15,18
26.16,7
26.17,5
26.18,13
26.19,6
26.2,8
26.21,7
26.22,6
26.23,7
26.24,9
26.25,5
26.26,6
26.27,9
26.28,8
26.29,14
26.3,11
26.31,9
26.32,12
26.33,6
26.34,9
26.35,11
26.36,6
26.37,4
26.38,6
26.39,10
26.4,7
26.41,6
26.42,7
26.43,7
26.44,6
26.45,8
26.46,10
26.47,7
26.48,6
26.49,12
26.5,11
26.51,8
26.52,8
26.53,8
26.54,11
26.55,6
26.56,5
26.57,5
26.58,3
26.59,5
26.6,7
26.61,6
26.62,5
26.63,2
26.64,6
26.65,9
26.66,9
26.67,11
26.68,5
26.69,6
